id,question,A,B,C,D
Q1,試合中、一番楽しい瞬間は？,味方へ決定的なパスを出す瞬間,相手をドリブルで抜く瞬間,ゴールを決める瞬間,ボールを奪う瞬間
Q2,チームで任されたい役割は？,ゲームメイカー,チャンスメイカー,エースストライカー,守備の中心
Q3,成長させたい能力は？,視野とパス,ドリブル,決定力,守備力
Q4,サッカーで一番大切だと思うことは？,チームを動かすこと,個人技で打開すること,得点を取ること,失点を防ぐこと
Q5,同点の終盤でボールを持ったら？,味方を活かす,仕掛ける,ゴールを狙う,ボールを失わない
Q6,監督から褒められたいことは？,判断力,技術力,得点力,守備力
Q7,好きな練習は？,パス練習,ドリブル練習,シュート練習,守備練習
Q8,チームメイトから言われたい言葉は？,試合を作ってくれる,何かしてくれそう,点を取ってくれる,安心して任せられる
Q9,理想の選手像は？,チームを指揮する選手,観客を沸かせる選手,ゴールを量産する選手,チームを支える選手
Q10,能力を一つ伸ばせるなら？,戦術理解と視野,ドリブル技術,シュート精度,守備能力
