question_id,question,choice,choice_text,selected_group,main_radar_item,オフェンス,シュート,,,パス,,フィジカル,,ディフェンス,,,,ヘディング,,スピード,,ドリブル,,
,,,,,,オフェンスセンス,決定力,フリーキック,カーブ,グランダーパス,フライパス,フィジカル,体力,ディフェンスセンス,ボール奪取,アグレッシブネス,守備意識,ヘディング,ジャンプ力,スピード,瞬発力,ボールコントロール,ドリブル,ボールキープ
common,Q1,あなたの希望ポジション・役割は？,A,ゴールキーパー,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,B,センターバック,DEFENSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,C,守備型サイドバック,DEFENSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,D,アンカー,DEFENSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,E,攻撃型サイドバック,SIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,F,右サイド,SIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,G,左サイド,SIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,H,ウィングバック,SIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,I,WG,SIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,J,ボランチ,MIDFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,K,トップ下,MIDFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,Q1,あなたの希望ポジション・役割は？,L,CF,CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK_Q01,近距離シュートに対して最初に意識することは？,A,一歩目の反応を速くする,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,9,1,1,1
GK,GK_Q01,近距離シュートに対して最初に意識することは？,B,シュートコースを先に消す,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q01,近距離シュートに対して最初に意識することは？,C,体を大きく使って止める,フィジカル,1,1,1,1,1,1,10,1,1,1,5,1,1,7,1,1,1,1,1
GK,GK_Q01,近距離シュートに対して最初に意識することは？,D,最後まで相手の足元を見る,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1
GK,GK_Q02,クロスボールが入った時の判断は？,A,積極的にキャッチへ出る,ジャンプ力,1,1,1,1,1,1,1,1,1,1,9,1,15,12,1,1,1,1,1
GK,GK_Q02,クロスボールが入った時の判断は？,B,パンチングで安全に逃げる,フィジカル,1,1,1,1,1,1,10,1,1,1,1,4,1,1,1,1,1,1,1
GK,GK_Q02,クロスボールが入った時の判断は？,C,落下点を読んで先に動く,ディフェンスセンス,1,1,1,1,1,1,1,1,7,1,1,1,1,9,1,1,1,1,1
GK,GK_Q02,クロスボールが入った時の判断は？,D,味方に声をかけて任せる,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q03,1対1で相手が抜け出した時は？,A,前に出て角度を狭める,アグレッシブネス,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,5,1,1,1
GK,GK_Q03,1対1で相手が抜け出した時は？,B,最後まで倒れず待つ,守備意識,1,1,1,1,1,1,7,1,1,1,1,5,1,1,1,1,1,1,1
GK,GK_Q03,1対1で相手が抜け出した時は？,C,相手のタッチを読んで止める,ディフェンスセンス,1,1,1,1,1,1,1,1,9,23,1,1,1,1,1,1,1,1,1
GK,GK_Q03,1対1で相手が抜け出した時は？,D,スピードで距離を詰める,スピード,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,5,1,1,1
GK,GK_Q04,ビルドアップの最初のプレーは？,A,近い味方へ正確につなぐ,グランダーパス,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,13,1,1
GK,GK_Q04,ビルドアップの最初のプレーは？,B,ロングキックで前線へ送る,フライパス,1,1,1,1,1,12,5,1,1,1,1,1,1,1,1,1,1,1,1
GK,GK_Q04,ビルドアップの最初のプレーは？,C,素早くサイドへ展開する,グランダーパス,1,1,1,1,9,7,1,1,1,1,1,1,1,1,1,4,1,1,1
GK,GK_Q04,ビルドアップの最初のプレーは？,D,相手を見て一度保持する,ボールキープ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,15
GK,GK_Q05,味方DFへ指示を出す場面で大切なのは？,A,ラインを整える声かけ,守備意識,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
GK,GK_Q05,味方DFへ指示を出す場面で大切なのは？,B,マークのズレを伝える,ディフェンスセンス,1,1,1,1,1,1,1,1,9,1,1,4,1,1,1,1,1,1,1
GK,GK_Q05,味方DFへ指示を出す場面で大切なのは？,C,前から奪いに行かせる,アグレッシブネス,1,1,1,1,1,1,1,1,1,29,13,1,1,1,1,1,1,1,1
GK,GK_Q05,味方DFへ指示を出す場面で大切なのは？,D,落ち着いて時間を作る,ボールキープ,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,12
GK,GK_Q06,相手のミドルシュートへの対応は？,A,素早く横へ反応する,瞬発力,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,9,1,1,1
